schedule,description,final_gap,final_eps1
PPA cổ điển,"không tăng tốc, T=T_ref",1.486876557432737e-07,
S1,T_k=1,0.03162242271224658,0.09015889686406457
S2,T_k=4,0.0001417239331638065,0.0054329129539489865
S3,T_k ~ log k,4.864419533845421e-09,4.5218501119401176e-05
S4,T_k ~ sqrt(k),3.5978923018653575e-07,4.6570570257083867e-05
S5,T_k = T_ref,6.1790901284553e-09,2.9802322387695312e-08
