k,F_gap_S4,bound_type1,bound_type2
100,2.2938059096588859e-07,1.4467456435980235,0.02429090345465933
101,3.931101038023854e-07,1.4357329945357626,0.023826280215875822
102,5.451770879183471e-07,1.4248850279092728,0.023374862653720633
103,6.518152748657968e-07,1.4141953042610842,0.022936157435505138
104,6.900506988039012e-07,1.4036574500158918,0.022509697739360776
105,6.523663269586422e-07,1.3932685308072463,0.02209504020103718
106,5.48404877953601e-07,1.3830284601014942,0.02169176022191083
107,4.0159649583593193e-07,1.3729369392077673,0.021299451001513627
108,2.438379198554941e-07,1.3629931727538878,0.020917720872124027
109,1.0835677510812047e-07,1.3531957871599372,0.020546192145157464
110,2.2525338705392528e-08,1.3435427883788502,0.02018450060832247
111,2.1620372159247836e-09,1.3340315571844632,0.019832295737782384
112,4.849380208504783e-08,1.3246588806093709,0.019489241368444377
113,1.483480489561373e-07,1.315421016702657,0.019155016487433372
114,2.774347875877936e-07,1.3063137882108011,0.018829315810550515
115,4.0592123107252576e-07,1.297332699415385,0.01851184986821973
116,5.050326712385811e-07,1.2884730694124658,0.01820234444975864
117,5.532295672683318e-07,1.2797301760049125,0.017900539405441337
118,5.40643569912902e-07,1.2711004339958256,0.017606186951204056
119,4.708674379294564e-07,1.2625842119806594,0.017319049731042018
120,3.5978923018653575e-07,1.25418163193873,0.017038898943528575
