method,final_objective,delta_log_slope_500_2000,max_abs_certificate_minus_1
Exact accelerated,5.266027541075564e-13,,
IAPPA1 q=7/4,6.066578874798615e-10,-0.5207170429964162,8.005818230572004e-12
IAPPA2 q=7/4,7.440457562670529e-16,-1.9888595374794573,7.827463122112022e-10
