k,exact,IAPPA1_q1.75,IAPPA2_q1.75,delta1_bound_component,delta2_bound_component
86,6.508946644866322e-08,6.919789865042179e-07,1.9797086089110697e-07,0.02610196440302594,3.551452190251252e-05
87,5.82508931807715e-08,6.546870973985731e-07,1.875739889105892e-07,0.025968142302296843,3.473639219111736e-05
88,5.206787200165055e-08,6.211140293786648e-07,1.77409178704094e-07,0.025836255417097265,3.398361650198021e-05
89,4.6486430804741004e-08,5.90923764978535e-07,1.6751139931711343e-07,0.025706258553404707,3.325510343718148e-05
90,4.145562603559208e-08,5.638094642006745e-07,1.5790978548428667e-07,0.025578107950302825,3.254981976996784e-05
91,3.6927632255917446e-08,5.394918089466386e-07,1.48627995499588e-07,0.025451761223590018,3.186678675982625e-05
92,3.285776700755663e-08,5.177171742442106e-07,1.3968460159151646e-07,0.025327177311979938,3.120507673725833e-05
93,2.920446385493326e-08,4.982557133805951e-07,1.3109350109224113e-07,0.025204316425761805,3.056380993591414e-05
94,2.5929204781106142e-08,4.808994228166487e-07,1.2286433808286747e-07,0.02508313999779543,2.994215155180634e-05
95,2.2996421521579488e-08,4.654602354125254e-07,1.1500292661678606e-07,0.02496361063672253,2.9339309011177996e-05
96,2.0373373961263628e-08,4.517681765611758e-07,1.0751166802256839e-07,0.024845692082282267,2.8754529430263626e-05
97,1.803001240312484e-08,4.3966960681799943e-07,1.0038995612996004e-07,0.024729349162624904,2.8187097251683424e-05
98,1.5938829344488882e-08,4.290255660699508e-07,9.363456551928823e-08,0.024614547753523234,2.7636332043563148e-05
99,1.4074705365621077e-08,4.197102277814507e-07,8.724001904648065e-08,0.02450125473938679,2.710158644869272e-05
100,1.2414752838285697e-08,4.1160946701043544e-07,8.119893193065743e-08,0.02438943797598898,2.6582244272139283e-05
101,1.093816039022607e-08,4.046195423780363e-07,7.550233060288517e-08,0.0242790662548221,2.6077718696727552e-05
102,9.6260404042111e-09,3.986458897202702e-07,7.01399453022705e-08,0.02417010926899975,2.5587450616702922e-05
103,8.461281276114074e-09,3.9360202351530145e-07,6.510047607223275e-08,0.02406253758063056,2.5110907080710706e-05
104,7.428405693997242e-09,3.8940854117117683e-07,6.037183236171211e-08,0.023956322589591055,2.464757983596668e-05
105,6.513435818267507e-09,3.8599222471782643e-07,5.594134688155938e-08,0.023851436503629572,2.4196983966167544e-05
106,5.703765931144726e-09,3.8328523424525236e-07,5.1795964715160404e-08,0.023747852309736545,2.3758656616301934e-05
107,4.98804287222113e-09,3.812243874647265e-07,4.792240894496359e-08,0.023645543746720083,2.3332155798079156e-05
108,4.356054376934748e-09,3.7975051996037387e-07,4.430732424374997e-08,0.02354448527892894,2.291705927019958e-05
109,3.79862527838485e-09,3.788079209815102e-07,4.093740000179913e-08,0.02344465207106801,2.251296348815226e-05
110,3.307521413038501e-09,3.783438399528729e-07,3.7799474628692734e-08,0.02334601996405445,2.2119482618646432e-05
111,2.8753609813345456e-09,3.783080592137678e-07,3.488062269080856e-08,0.023248565451865218,2.1736247614167736e-05
112,2.495533049618108e-09,3.7865252881131513e-07,3.21682265312384e-08,0.023152265659329322,2.1362905343501048e-05
113,2.1621228356150608e-09,3.793310594485877e-07,2.9650033975659848e-08,0.023057098320820698,2.0999117774382745e-05
114,1.8698433918380055e-09,3.8029906991328294e-07,2.7314203662430366e-08,0.022963041759809698,2.0644561204738802e-05
115,1.6139732865640712e-09,3.815133854799368e-07,2.514933945377635e-08,0.022870074869233484,2.029892553923393e-05
116,1.390299877534225e-09,3.8293208388634156e-07,2.3144515292455963e-08,0.022778177092647695,1.9961913608103372e-05
117,1.1950677769548793e-09,3.845143855343185e-07,2.1289291768912862e-08,0.022687328406123516,1.963324052546494e-05
118,1.0249321158008648e-09,3.862205845610431e-07,1.957372556118297e-08,0.022597509300856324,1.931263308451604e-05
119,8.769162292371731e-10,3.880120173768901e-07,1.7988372806472564e-08,0.022508700766453626,1.8999829187211198e-05
120,7.483734019052319e-10,3.898510651785901e-07,1.6524287361601616e-08,0.02242088427487175,1.8694577306190216e-05
121,6.36952330818449e-10,3.917011868331439e-07,1.517301481109621e-08,0.022334041764972244,1.839663597688842e-05
122,5.405659838536422e-10,3.935269784003061e-07,1.3926582987864485e-08,0.022248155627670393,1.8105773317908428e-05
123,4.5736355265823015e-10,3.9529425543199635e-07,1.2777489682981085e-08,0.02216320869164963,1.7821766577869366e-05
124,3.8570521971264605e-10,3.9697015406824064e-07,1.1718688138700322e-08,0.022079184209616996,1.7544401707075275e-05
125,3.2413947990884034e-10,3.985232468534028e-07,1.074357084273191e-08,0.02199606584507589,1.7273472952460356e-05
126,2.713827770430052e-10,3.9992366913483686e-07,9.845952072155637e-09,0.02191383765959366,1.700878247437584e-05
127,2.2630123486780494e-10,4.011432518887425e-07,9.02004957207416e-09,0.021832484100542608,1.6750139983882007e-05
128,1.8789428066475013e-10,4.02155656853321e-07,8.260465697035982e-09,0.02175198998929401,1.6497362399300315e-05
129,1.5527997659044702e-10,4.0293650994366926e-07,7.562168292143793e-09,0.021672340509845837,1.6250273520864986e-05
130,1.276818902711522e-10,4.034635290803072e-07,6.920471545273082e-09,0.021593521197865645,1.600870372239155e-05
131,1.0441735124960999e-10,4.0371664278544657e-07,6.331017001597829e-09,0.021515517930131137,1.5772489658952153e-05
132,8.488695393174355e-11,4.036780961871671e-07,5.789754896264754e-09,0.021438316914351635,1.5541473989614467e-05
133,6.856518066162053e-11,4.0333254141813877e-07,5.292925930176515e-09,0.021361904679354546,1.5315505114363125e-05
134,5.49920305075083e-11,4.0266710979660287e-07,4.837043587039356e-09,0.021286268065621637,1.5094436924380141e-05
135,4.376555031529052e-11,4.0167146362499605e-07,4.418877066713074e-09,0.021211394216160646,1.4878128564914281e-05
136,3.453517462964195e-11,4.003378259260177e-07,4.035434890097607e-09,0.021137270567698447,1.466644421001887e-05
137,2.6995790253409075e-11,3.986609869458032e-07,3.6839492139468876e-09,0.0210638848421826,1.445925284848367e-05
138,2.0882449568617057e-11,3.966382867768098e-07,3.3618608797856167e-09,0.020991225038578778,1.4256428080329262e-05
139,1.596566433569535e-11,3.942695739762311e-07,3.066805209210647e-09,0.020919279424952086,1.4057847923272163e-05
140,1.2047218577335156e-11,3.91557140566305e-07,2.7965985480031794e-09,0.02084803653082082,1.3863394628606005e-05
141,8.95644539467556e-12,3.8850563428839515e-07,2.5492255534030753e-09,0.020777485139771852,1.3672954505978557e-05
142,6.5469182088621545e-12,3.8512194943168264e-07,2.322827212368462e-09,0.020707614282327143,1.3486417756576527e-05
143,4.693512020424793e-12,3.814150979595723e-07,2.1156895734521896e-09,0.02063841322905152,1.3303678314259988e-05
144,3.289794879522744e-12,3.7739606300400386e-07,1.926233170883087e-09,0.020569871483892176,1.3124633694216186e-05
145,2.2457139060640913e-12,3.7307763708320093e-07,1.7530031163768655e-09,0.02050197877774089,1.2949184848728527e-05
146,1.4855439311540426e-12,3.684742476175256e-07,1.5946598319702177e-09,0.020434725062210213,1.2777236029680828e-05
